id,lon,lat,people,chickens,car,children,malaria,household_head_age,household_head_sex
55,32.6364930192897,-25.0304706858686,8,9,No car,0,no malaria,15.5904085039787,male
56,32.855637958083,-24.9632257663429,9,11,No car,2,no malaria,24.4770424344682,male
57,32.1260810056348,-24.7613834348058,8,3,No car,5,no malaria,69.4089108929673,male
58,32.5279643227235,-25.1549254585255,8,3,No car,2,no malaria,29.378158911075,male
59,32.6498326760042,-25.0301955159624,11,1,No car,1,malaria,34.1592591823959,male
60,32.6280339153473,-25.0233841246869,3,7,No car,2,no malaria,44.5057167848979,female
61,32.7341597361121,-25.0743764892931,4,11,No car,0,no malaria,63.7923442770294,male
62,32.6571033076428,-25.0247537361666,3,27,No car,0,no malaria,48.0202306674425,female
63,32.6354042944405,-25.0206601656585,4,0,No car,0,no malaria,29.8976957428779,male
64,32.5659178047299,-25.0050228518842,6,22,No car,3,malaria,26.5047196403866,male
65,32.6587114347801,-25.0433352610689,1,21,No car,0,no malaria,30.6478570798158,female
66,32.9040733545642,-24.8531599037846,8,25,No car,7,no malaria,24.3806203142556,male
67,32.6507074620229,-24.9979827518076,7,12,No car,1,malaria,24.6785696977488,female
68,32.494266272769,-25.1034354294242,6,7,No car,4,no malaria,20.2570855525832,female
69,32.6415217404295,-25.0161661643759,2,18,No car,0,no malaria,24.9062341460974,male
70,32.9008464723488,-24.9291245259932,6,14,No car,1,no malaria,41.367836539749,female
71,32.6250470366913,-25.0223933452173,3,34,No car,2,no malaria,25.546046939848,male
72,32.8945111382806,-24.8216137544166,5,18,No car,3,no malaria,31.1531963626732,male
73,32.5156415612033,-24.8191288864102,8,6,No car,6,malaria,30.5681627938008,male
74,32.5774441627106,-25.0023671580177,5,30,No car,1,no malaria,15.8990141146191,male
75,32.8587175203091,-24.8137531346557,9,40,No car,7,no malaria,15.6931910725999,male
76,32.6609006499195,-25.1001206524571,6,3,No car,1,malaria,35.3535530827113,male
77,32.8568053255018,-24.8039420638486,3,20,No car,0,no malaria,36.965811503732,female
78,32.2341822181729,-24.5324696603991,5,3,No car,0,no malaria,37.9566953014026,male
79,32.3322676506587,-24.8940524382931,4,37,No car,2,no malaria,35.2508815890849,male
80,32.6550031070565,-25.0208319582191,6,8,No car,1,malaria,34.9116197207308,male
81,32.8562180370795,-24.7946086882566,7,7,No car,4,no malaria,18.7880778540334,female
82,32.6992255400794,-25.0676931701933,7,9,No car,4,no malaria,21.3382632465884,male
83,32.6932617856687,-25.0164495167923,3,12,No car,0,no malaria,25.238629330669,female
84,32.6353929794298,-25.0279912984495,10,7,No car,2,no malaria,31.758896875379,female
85,32.6163164965162,-25.1014582789809,8,20,No car,4,no malaria,37.8358454399544,male
88,32.8565460294322,-24.8482889983796,6,9,No car,1,no malaria,31.0666313718681,male
89,32.6466571494157,-25.0151855947219,5,8,No car,1,no malaria,20.7016635944711,male
90,32.5470027282821,-25.0891473476534,3,2,No car,0,malaria,43.207693388794,female
91,32.5445992921334,-25.0783827669595,7,2,No car,6,no malaria,26.587552899557,male
92,32.6477175273859,-25.0204189996599,8,40,No car,3,no malaria,21.3795414926778,male
93,32.6586622296425,-24.5677033818686,4,0,No car,0,no malaria,33.735333969879,male
94,32.6737803637092,-25.0361355581723,7,1,No car,4,no malaria,29.3425005022216,male
95,32.5928998181044,-25.0652171859496,4,7,No car,0,malaria,48.3575149905183,male
96,32.166160644602,-24.7338697315708,6,15,No car,1,no malaria,44.3841730233025,male
97,32.5992891970742,-25.1097980625439,8,0,No car,0,malaria,33.0932030618059,male
98,32.6259086617011,-25.0267507919619,3,31,No car,0,malaria,34.0561045761816,male
99,32.4661308508177,-25.2415412603432,5,10,No car,2,no malaria,28.6501694948994,male
100,32.8563985518298,-24.8043572586141,4,12,No car,2,no malaria,34.380061207845,male
101,32.5402265736601,-25.0742339771839,8,22,No car,1,no malaria,45.1731517165531,female
102,32.6451723453511,-25.0173792363465,4,11,No car,0,malaria,54.7385607361128,male
103,32.8958354886382,-24.821005284335,7,10,No car,4,no malaria,31.2860453058661,male
104,32.8565122427185,-24.7928498428609,12,1,No car,9,malaria,16.8341585477764,male
105,32.5743325930247,-24.9639466905478,6,3,No car,5,no malaria,15.6422128282446,male
106,32.2245421110966,-24.4946883797075,4,9,No car,0,no malaria,37.9212674394971,male
107,32.6314499859558,-25.090265712631,4,34,No car,1,no malaria,22.8830639849023,male
108,32.5119100845605,-25.2761893903175,5,22,No car,3,malaria,50.9794560743881,male
109,32.6389386810719,-25.0127650131387,5,0,No car,2,no malaria,62.4641573355946,male
110,32.6466219469881,-25.0172531666372,10,2,No car,8,no malaria,29.731438511105,male
112,32.6429784664041,-25.0174521166958,7,13,No car,0,malaria,23.4407732106231,male
113,32.5407159464327,-24.8959743964491,6,18,No car,3,no malaria,18.1210752263349,male
114,32.6424773648629,-25.014910321424,10,14,No car,5,malaria,49.4480105271182,male
115,32.6309917359162,-25.0177427187837,6,10,No car,4,malaria,34.1375881885103,male
117,32.6826989332658,-25.0084275349947,8,32,No car,2,no malaria,44.4902439508183,female
118,32.5679586932104,-25.0040986553328,6,13,No car,2,no malaria,47.5469761025363,female
119,32.6265451145176,-24.8405638127521,9,10,No car,4,malaria,15.3687733801209,male
120,32.6003305695342,-25.0034239235449,8,0,No car,0,malaria,42.9656795620299,male
121,32.5321430771117,-25.178623312791,5,19,No car,3,no malaria,18.8449495468386,male
122,32.4933668762414,-25.2005306780975,3,3,No car,1,no malaria,19.0593390621016,male
123,32.5216250945968,-25.0958112811908,6,17,No car,0,no malaria,59.9880992217541,male
124,32.6429514703087,-25.016852781054,5,0,No car,2,malaria,57.1440481170301,female
125,32.6718864715009,-25.0369571394361,8,10,No car,1,no malaria,15.7733242424701,male
126,32.7122869995707,-25.047605826422,5,4,No car,2,no malaria,35.6783057240426,male
127,32.6371416146968,-25.0937287853782,6,75,No car,4,malaria,21.7148642671724,male
128,32.6443852713838,-25.0234352696731,8,21,No car,7,no malaria,30.3564905184739,female
129,32.6377566069514,-25.0350530699688,5,26,No car,0,no malaria,40.5112204681437,male
130,32.9203343177785,-24.8610047635009,6,34,No car,2,no malaria,18.9553893710598,male
131,32.6175676922273,-25.0436427422511,11,9,No car,5,no malaria,32.6859991596802,male
132,32.6306269955894,-24.8580893482206,3,1,No car,0,no malaria,53.8843017703689,male
133,32.6598013772064,-25.0473392390864,10,28,No car,3,no malaria,15.6018152016689,male
134,32.6494607761143,-25.0155201733066,10,8,No car,0,no malaria,34.2505146230573,male
135,32.6298769686468,-25.0132399438294,4,4,No car,3,no malaria,40.7673586232454,male
136,32.5932855446303,-25.087610977066,6,4,No car,0,no malaria,30.6267831051315,male
137,32.62229254763,-25.0551234056545,5,15,No car,1,no malaria,60.1287564623411,male
138,32.6337583943741,-25.0175581514237,9,13,No car,4,no malaria,33.3288620902797,male
140,32.629253151341,-25.0322939621234,5,28,No car,1,no malaria,53.035992355037,male
141,32.6408015693218,-25.0273918304443,7,9,No car,0,no malaria,36.9519342968309,male
142,32.5622767294093,-25.1204086016435,4,4,No car,3,no malaria,19.6297198883061,male
143,32.6486685396822,-25.0193304891148,10,6,No car,6,no malaria,27.8187468984041,male
144,32.4857845897004,-25.1826278002851,5,8,No car,0,malaria,78.8466073468078,male
145,NA,NA,3,17,No car,1,no malaria,27.973123878145,male
146,32.4426111219019,-24.6435054845976,2,7,No car,0,no malaria,34.9473811025972,male
147,32.6100185370382,-25.047437099863,10,37,No car,1,no malaria,18.3576660053596,male
148,32.2868515731469,-24.5521236401185,10,4,No car,6,no malaria,16.1063480857119,male
149,32.4967825278451,-25.1143243976459,9,5,No car,8,malaria,44.748936199239,female
150,32.136169134274,-24.7420820018844,6,15,No car,5,no malaria,60.6350594351585,male
151,32.9190604069537,-24.8503529687252,10,7,No car,6,no malaria,38.881482572884,male
152,32.6306835570675,-25.0222581120938,8,12,No car,6,malaria,15.0525658429581,male
153,32.4370017910547,-25.245604650595,7,19,No car,4,no malaria,15.6126236666473,male
154,32.4657296105264,-25.0869364011336,8,47,No car,6,no malaria,51.1703090599762,male
155,32.6467013374489,-24.9998803354963,5,0,No car,2,no malaria,39.9519009687486,male
156,32.6615370904277,-25.0452051089508,4,28,No car,2,no malaria,56.5206024700901,male
158,32.62613669343,-25.054334010246,6,5,No car,2,no malaria,16.967250143893,male
159,32.6523855531356,-25.0252705950475,5,20,No car,2,no malaria,19.7884386973197,male
160,32.684713011539,-25.0124482973464,4,9,No car,3,no malaria,17.0086882436714,male
161,32.0801153285443,-24.4939372180731,3,3,No car,2,no malaria,26.670186974422,male
162,32.6513009940243,-25.0261827492259,4,3,No car,0,no malaria,32.4195329504518,female
163,32.6368043319254,-25.0245875452463,6,2,No car,4,no malaria,24.3616633510653,male
164,32.7325351757339,-24.9996295229396,13,4,No car,10,malaria,48.900427595994,male
165,32.6617770346405,-25.1010045078606,1,15,No car,0,no malaria,31.5162049086758,male
166,32.6334148459018,-25.0271103630918,3,44,Has car,0,no malaria,38.988290702438,female
167,32.6459457065695,-25.0420293614396,6,22,No car,5,no malaria,29.6588485545537,male
168,32.0864418630473,-24.4831132175476,5,1,No car,3,no malaria,30.0363828441859,female
169,32.6253344851594,-25.0549257085457,5,44,No car,2,no malaria,42.7989999061736,male
170,32.8593179699878,-24.8110028648739,8,49,No car,6,no malaria,32.2167436121436,male
171,32.204783582887,-24.7702485094789,4,41,No car,0,no malaria,36.5543359481856,male
172,32.8922517953064,-24.8345801636997,4,11,No car,0,no malaria,39.4040240999474,female
173,32.6448716221076,-25.0272068510074,4,7,No car,0,no malaria,24.0372693666776,male
174,32.2605797573846,-24.5444331578953,5,0,Has car,3,malaria,41.0664356823893,male
175,32.8515780293119,-24.7966427744542,6,18,No car,0,no malaria,30.2696673733246,male
176,32.6510285130358,-25.0302397394698,6,12,No car,4,no malaria,46.2778856573803,female
177,32.0812078964234,-24.4929825540598,3,37,No car,0,no malaria,26.815931847881,male
178,32.3103425091551,-24.8723386039074,4,3,No car,0,no malaria,53.9506753184345,male
179,32.5335250724258,-25.1407322472165,4,39,No car,0,no malaria,35.8824418869692,male
180,32.594510998682,-24.9864576984174,8,8,No car,6,no malaria,88.1354720699926,male
181,32.658809993924,-25.0465105008459,6,8,No car,5,no malaria,28.584616845962,male
182,32.498713698914,-24.8148521295757,3,0,No car,1,no malaria,46.9832609869418,male
183,32.5705897670192,-25.1249045380781,10,16,No car,1,no malaria,46.0371189953761,male
184,32.6295215653829,-25.0147196467137,8,12,No car,6,malaria,36.1013405533354,female
185,32.8657441917847,-24.812791043158,9,19,No car,4,malaria,33.9553144855201,male
186,32.6411312939827,-25.0157931442612,10,12,No car,8,malaria,26.0333941958375,male
187,32.6467251406794,-25.002000239114,7,8,No car,6,no malaria,56.258830999155,female
188,32.7110647799957,-25.0473351842541,10,30,No car,8,no malaria,60.6914709237244,male
189,32.5769874594643,-25.0083083880858,10,1,No car,4,no malaria,28.6804684527985,male
190,32.7191843739783,-25.0507437522188,6,14,No car,1,no malaria,17.8300145259123,male
191,32.7137189826857,-25.0505289168811,5,3,No car,3,no malaria,46.2720690334256,male
192,32.424238575657,-25.221267040225,5,6,No car,2,no malaria,19.7443332854194,female
193,32.573265774615,-25.0077525208035,4,3,No car,3,no malaria,44.473264547807,male
194,32.6150208204986,-25.0224278640877,11,9,No car,9,no malaria,27.6149208181201,male
195,32.8589573602468,-24.8141163505462,6,10,Has car,4,no malaria,34.5692593256563,male
196,32.5662048501818,-25.1232286781259,9,8,No car,5,no malaria,34.3088273433871,male
198,32.3694594860715,-24.9163678925102,4,21,No car,3,no malaria,30.3475637064797,male
199,32.6622145869327,-25.0691470480177,3,39,No car,0,no malaria,19.5825297471614,male
200,32.6574905903482,-25.103605957838,5,21,No car,0,malaria,39.5142359448982,male
201,32.6529986153621,-25.0259532839132,8,8,No car,3,no malaria,16.1366500457657,female
202,32.3513644576768,-25.0046718159333,6,8,No car,4,no malaria,21.877617375137,male
203,32.6508649656317,-25.0185709134834,6,11,No car,5,no malaria,47.076735128805,male
204,32.330856798814,-24.2659897353533,3,4,No car,2,no malaria,25.1969185782411,female
205,32.8580256137308,-24.7926799558798,3,0,No car,0,malaria,66.1687136931858,male
206,32.6003476713323,-25.0532176606599,4,26,No car,0,no malaria,22.5627084705593,female
207,32.6717707992803,-25.0782060269625,8,14,No car,3,malaria,18.4942168044675,male
208,32.5663070359188,-24.9994921982801,4,44,No car,1,no malaria,32.635084889321,female
209,32.8628347622532,-24.8090157511944,4,2,No car,1,no malaria,26.1406009197689,female
210,32.6415760686381,-25.0436919919335,4,21,No car,0,no malaria,22.0749709411639,male
211,32.6567906876986,-25.0266295780133,7,39,No car,5,no malaria,43.817593232402,male
212,32.5726565437658,-24.9918073216677,5,6,No car,0,no malaria,37.9589903914159,male
214,32.5158856863947,-24.9233342107506,8,24,No car,7,no malaria,17.4285555559085,male
215,32.6426914516683,-25.0295885774145,8,3,No car,7,no malaria,22.2488826678057,male
216,32.7209402328883,-25.0578129501039,4,5,No car,2,no malaria,30.8270185488031,male
218,32.7117820433389,-25.0050176782405,11,10,No car,7,no malaria,22.8445625744666,male
222,32.6006734356434,-25.0029622378362,8,4,No car,5,no malaria,74.2780473292113,female
223,32.6275505757261,-25.0183952606245,4,12,No car,2,malaria,20.3539252042986,male
224,32.637679728268,-25.0076918135942,9,5,No car,8,no malaria,49.4316684237527,male
225,32.6279017974189,-25.0229494111838,3,40,No car,0,malaria,42.9826957587558,male
226,32.6465614074769,-25.0188632735984,9,0,No car,5,no malaria,18.7424601220471,male
227,32.5842741003561,-25.0370804834352,8,1,No car,3,no malaria,36.7831828949757,male
228,32.6607030788499,-25.0809510809492,6,4,No car,0,malaria,25.2290043022511,female
229,32.6995292337347,-25.0400767873952,9,8,No car,6,no malaria,43.594478956097,male
230,32.6961170483045,-25.0839208700994,6,47,No car,4,no malaria,18.4317329934524,male
231,32.3181544451812,-24.868820608804,8,7,No car,6,no malaria,29.1138612752994,male
232,32.6569886712045,-25.0151143533294,8,7,No car,4,no malaria,38.3017866119746,female
233,32.6542599870025,-25.0130506028357,9,26,No car,4,no malaria,27.5542190410955,male
234,32.6457787123077,-25.0256979172656,5,23,No car,4,no malaria,29.6551670634095,female
235,32.8963349573123,-24.8441065661037,6,21,No car,0,no malaria,32.7850940418577,male
236,32.6524813457416,-25.0407940210282,4,0,No car,0,no malaria,33.6969682903898,male
237,32.0802337163105,-24.4745156785362,6,0,No car,4,no malaria,47.1878643707934,female
238,32.6999307009564,-24.5201717869075,8,17,No car,6,malaria,16.3506947158752,male
239,32.7386798493475,-25.0811264312941,4,13,No car,0,no malaria,67.686441506956,male
240,32.6502133401234,-25.0164820225925,4,4,No car,1,no malaria,30.8119674174683,male
241,32.6507669457143,-25.0434440519644,8,9,No car,0,no malaria,42.3753019188618,male
243,32.8660006560437,-24.8145151199642,8,21,No car,4,no malaria,28.0418648143643,male
244,32.0852423408437,-24.4831548651727,9,30,No car,7,no malaria,28.5990354298669,male
245,32.6677961245384,-25.0397088701106,4,4,No car,1,no malaria,58.9052068085999,male
246,32.6277445843251,-25.0162718745456,11,6,No car,9,no malaria,35.2861748699291,male
247,32.7169353565012,-25.0047257922579,3,8,No car,1,malaria,61.0352538855824,male
248,32.6525544032256,-25.0242651452121,6,15,No car,0,no malaria,28.8542331424538,male
249,32.7273883776933,-25.1558002754345,1,6,No car,0,malaria,20.9056213283945,male
250,32.7796987584525,-24.628223989484,10,23,No car,0,no malaria,31.8196803261838,male
251,32.6292907160974,-25.0735328966539,7,28,No car,6,no malaria,43.8467628615137,male
252,32.6401459843133,-25.031337643356,4,17,No car,1,no malaria,32.4687794683961,male
253,32.8838499496615,-24.8334338078417,8,21,No car,5,no malaria,23.7802682811352,male
254,32.4385994513669,-24.2876786915534,6,11,No car,5,malaria,36.5149970939315,male
255,32.7104685742769,-25.0031141158296,7,11,No car,3,no malaria,23.670574799972,male
256,32.6395133067165,-25.006635675549,5,1,No car,3,malaria,26.215914651805,male
257,32.6469864621822,-25.0277112301915,7,48,No car,2,no malaria,41.2739615512948,male
258,32.6795980028936,-25.0382389295914,6,8,No car,5,no malaria,61.2801381616298,male
259,32.6373119923378,-25.0342415552874,11,9,No car,5,no malaria,15.7788945398685,male
260,32.6769447109929,-25.0378810519442,5,14,No car,0,malaria,32.7801345717615,female
261,32.6376682281965,-25.0342117066812,3,3,No car,0,no malaria,27.1654977776687,female
262,32.5430783081603,-25.0746894895222,4,2,No car,1,no malaria,22.797105760432,male
263,32.6571335364109,-25.025034899909,10,19,No car,2,no malaria,31.2101748927676,male
264,32.6505111191443,-25.0160439985254,6,20,No car,2,malaria,19.4823205555843,male
265,32.8474533192988,-24.7836156870214,8,7,No car,2,malaria,72.8174980730593,male
266,32.6622039337072,-25.0431420044106,2,29,No car,0,no malaria,41.8691876778595,female
267,32.6370103103697,-25.0130135352507,5,17,No car,1,no malaria,33.7201860856621,male
268,32.6640822351111,-25.0780298079717,7,3,No car,3,no malaria,69.0728639147883,male
269,32.66352335451,-25.0469280878338,3,9,No car,1,malaria,22.1717980411589,male
270,32.5772816565377,-25.0383987595643,4,2,No car,0,malaria,52.4987676449891,female
271,32.5005769516733,-24.8263932446416,7,16,No car,6,no malaria,37.8089988504085,male
272,32.5302527707138,-25.1479667208391,4,7,No car,0,no malaria,42.7164504080659,male
273,32.6393093178137,-25.0216758790934,5,6,No car,2,no malaria,27.7210493432994,male
274,32.7550801617651,-24.6012924765734,8,27,No car,4,no malaria,43.054040223339,male
275,32.6433112188795,-25.0189061302516,4,42,No car,3,no malaria,71.3770915077772,female
276,32.5612505648647,-25.1418290583058,3,41,No car,0,no malaria,31.115235686682,male
277,32.655850466813,-25.0043412416903,6,21,No car,5,no malaria,18.1324133695654,male
278,32.5668516961319,-25.0832495444699,10,28,No car,7,no malaria,26.0074146993996,male
279,32.6848156176362,-24.8910120089571,7,20,No car,3,malaria,31.3998264175611,female
280,32.6275508339504,-25.0346775828406,5,3,No car,0,no malaria,19.5497623034769,female
281,32.6582207312569,-25.0032267875609,5,26,No car,4,no malaria,21.6644145431251,male
282,32.682760004253,-25.007014215738,10,6,No car,3,no malaria,60.9122225371785,male
283,32.831170589987,-24.9755549128344,5,10,No car,0,no malaria,56.4626215904962,male
284,32.6516290576927,-24.8649488124533,6,5,No car,4,no malaria,17.2648669399793,male
285,32.7434847086985,-24.5769599272883,1,18,No car,0,no malaria,26.5301015031613,male
286,32.6386046975895,-25.0121522316598,5,7,No car,2,malaria,41.2618950088377,male
287,32.7648058211577,-24.6061404264025,7,3,No car,4,no malaria,23.7743553654008,male
288,32.4891776429802,-25.1030815443869,9,2,No car,0,no malaria,22.8745984418767,male
289,32.6087419928754,-25.0195452087966,4,53,Has car,0,no malaria,35.7224695492276,male
290,32.5113179118254,-24.7747983957865,5,6,No car,1,no malaria,23.2999840218101,male
291,32.8915854690308,-24.8164902770416,6,27,No car,2,no malaria,37.8411469529626,female
292,32.5271417164791,-24.8338327247579,4,2,No car,0,no malaria,37.6663086857782,male
293,32.6536316503174,-25.0089953577706,4,50,No car,0,no malaria,15.6350746567588,male
294,32.7002101705122,-24.5234788240388,8,2,No car,2,no malaria,35.8293562408541,male
295,32.6259845661467,-25.0194207638885,7,4,No car,3,no malaria,31.6316228170812,male
296,32.6622471676562,-25.1126651457064,3,21,No car,0,no malaria,47.2559190704573,male
297,32.641409286134,-25.0297298824248,7,2,No car,0,no malaria,37.404200420081,male
298,32.3904412406904,-24.9955246974469,6,3,No car,2,no malaria,60.1094795387834,male
299,32.5435295021813,-25.0825360515535,6,5,No car,1,no malaria,34.8712158587265,male
300,32.643220731908,-25.0101311062351,8,4,No car,6,no malaria,44.3717672547831,male
301,32.6313490221775,-25.0333324194246,5,5,No car,2,no malaria,31.2509786337816,male
302,32.5967456568352,-25.079575467208,6,16,No car,4,malaria,35.3487796531802,male
303,32.6443772795834,-25.0214375776472,6,19,No car,5,no malaria,15.2922148165666,male
304,32.6066817536859,-25.014606464316,6,8,No car,0,no malaria,21.8632520026703,female
305,32.5438094282062,-25.0796106851553,5,3,No car,1,no malaria,16.7839045478678,male
306,32.5799838513914,-25.0737785949481,4,23,No car,3,no malaria,20.8960117728865,male
307,32.4647638237273,-25.1725943428959,5,2,No car,1,no malaria,31.5532857710218,male
308,32.5860281207427,-25.120845209063,7,28,No car,1,no malaria,17.3166836802632,male
309,32.9179302524702,-24.842783319447,6,12,No car,2,no malaria,45.4146984370433,male
311,32.6796751683269,-25.037135206317,3,0,No car,2,no malaria,62.0757333473958,male
312,32.516077430422,-24.7472942132607,4,18,No car,0,no malaria,51.8139981035425,female
313,32.4333724678566,-25.2508662293087,7,9,No car,0,no malaria,19.0074121835127,male
314,32.6780642097871,-25.037454416022,10,7,No car,5,no malaria,54.2686498443026,male
315,32.6425876130292,-25.0219497544166,7,26,No car,3,no malaria,40.3364448533321,male
316,32.7135587320125,-25.0039317930596,6,21,No car,0,malaria,65.1071870339581,male
317,32.6591192131703,-25.0419167860397,7,53,No car,4,no malaria,57.7187030295918,male
318,32.201556252539,-24.4579594035132,6,32,No car,1,malaria,30.1372606238842,male
319,32.5742413338914,-24.9956711950224,5,8,No car,4,no malaria,34.3315576872793,male
321,32.6487664270293,-25.0233303015923,8,8,No car,2,no malaria,26.4068299215867,female
322,32.6658760897207,-25.0792729484861,3,0,No car,0,no malaria,28.9582416325919,male
323,32.2858234296883,-24.5544089758775,4,34,No car,0,no malaria,57.7534575782484,male
324,32.6439497744358,-25.0167993628403,9,28,No car,0,no malaria,29.1465208742748,male
325,32.6066378930505,-25.0697988705406,3,3,No car,0,no malaria,50.4252713578039,male
326,32.7289391162121,-24.9370317031116,5,16,No car,2,no malaria,58.9620169224611,male
327,32.6395309821262,-25.0225390031444,3,13,No car,1,malaria,47.8947300348606,female
328,32.6954974860541,-24.5157010804024,7,41,No car,2,no malaria,32.2471210025191,female
329,32.6854022362079,-25.0067738011336,8,21,No car,2,no malaria,18.7696076434718,male
330,32.6409023215422,-25.0285824010493,9,4,No car,5,no malaria,47.025329800598,male
331,32.6492876476737,-25.014156617806,10,11,No car,3,no malaria,62.7952178013773,male
332,32.3438382964491,-24.8853048894575,8,30,No car,4,malaria,18.4184970091631,female
333,NA,NA,6,9,No car,0,no malaria,63.4042096771163,male
334,32.6372902686713,-25.0272225042018,6,8,No car,5,malaria,72.1509786875304,male
335,32.6232096761817,-25.031632554699,5,29,No car,0,no malaria,67.8748621222986,male
336,32.6779131707608,-25.0357315048422,2,18,No car,1,no malaria,33.6758655456118,male
337,32.5510486743329,-24.9533388357296,6,9,No car,2,no malaria,18.4306457745054,male
338,32.8946793363126,-24.8240316266298,5,11,No car,0,malaria,32.1097456296736,female
339,32.2383954809048,-24.4986398913476,7,9,No car,1,no malaria,27.211967151019,female
340,32.6520758768953,-25.0241141377754,4,13,No car,3,no malaria,42.9838631640904,female
341,32.4800630888369,-25.2131941380722,2,16,No car,1,no malaria,34.9031519295322,male
342,32.4210785962711,-25.0547293781182,3,45,No car,0,no malaria,41.9002933100567,male
343,32.5889677219757,-25.1251677622415,3,1,No car,1,no malaria,21.1589864530348,female
344,32.5238876739457,-25.0972510233948,4,35,No car,0,no malaria,21.9602947327359,male
